datetime,price_EUR_per_MWh,nuclear_MW,non_renewable_MW,renewable_MW
2025-01-07 07:00:00,131.69,2957.301447858118,462.5,462.5
2025-01-07 08:00:00,138.4,2957.231374369069,462.5,462.5
2025-01-07 09:00:00,134.5,2956.830954431643,462.5,462.5
2025-01-07 10:00:00,133.78,2958.332529196989,462.5,462.5
2025-01-07 11:00:00,136.04,2958.5527601625736,462.5,462.5
2025-01-07 12:00:00,131.54,2766.2010327216635,462.5,462.5
2025-01-07 13:00:00,129.2,2962.386781063426,462.5,462.5
2025-01-07 14:00:00,134.05,2964.7092167004957,462.5,462.5
2025-01-07 15:00:00,140.6,2964.5390382270893,462.5,462.5
2025-01-07 16:00:00,145.89,2963.558009380396,462.5,462.5
2025-01-07 17:00:00,145.9,2963.237673430456,462.5,462.5
2025-01-07 18:00:00,142.06,2963.2877259226334,462.5,462.5
2025-01-07 19:00:00,139.97,2964.4889857349112,462.5,462.5
2025-01-07 20:00:00,135.0,2965.94050800808,462.5,462.5
2025-01-07 21:00:00,131.9,2965.109636637921,462.5,462.5
2025-01-07 22:00:00,131.9,2968.292975140456,462.5,462.5
2025-01-07 23:00:00,128.02,2969.0137310278224,462.5,462.5
2025-01-08 00:00:00,115.19,2968.4431326169906,462.5,462.5
2025-01-08 01:00:00,109.69,2968.613311090397,462.5,462.5
2025-01-08 02:00:00,104.36,2968.012681184258,462.5,462.5
2025-01-08 03:00:00,102.32,2966.8114213719805,462.5,462.5
2025-01-08 04:00:00,103.28,2964.0084818100004,462.5,462.5
2025-01-08 05:00:00,117.28,2961.806172154158,462.5,462.5
2025-01-08 06:00:00,129.85,2959.703967482673,462.5,462.5
2025-01-08 07:00:00,136.03,2958.602812654752,462.5,462.5
2025-01-08 08:00:00,138.4,2958.6528651469307,462.5,462.5
2025-01-08 09:00:00,135.24,2960.384681376297,462.5,462.5
2025-01-08 10:00:00,134.65,2956.430534494217,462.5,462.5
2025-01-08 11:00:00,131.28,2955.129169697584,462.5,462.5
2025-01-08 12:00:00,127.71,2954.578592283623,462.5,462.5
2025-01-08 13:00:00,128.69,2950.49430892188,462.5,462.5
2025-01-08 14:00:00,135.39,2948.772503190949,462.5,462.5
2025-01-08 15:00:00,143.24,2949.0928391408897,462.5,462.5
2025-01-08 16:00:00,146.11,2947.2909494224737,462.5,462.5
2025-01-08 17:00:00,146.57,2946.239847086731,462.5,462.5
2025-01-08 18:00:00,150.34,2946.8404769928698,462.5,462.5
2025-01-08 19:00:00,141.74,2948.1218207926327,462.5,462.5
2025-01-08 20:00:00,134.91,2948.79252418782,462.5,462.5
2025-01-08 21:00:00,128.27,2950.2740779562955,462.5,462.5
2025-01-08 22:00:00,126.98,2951.625495245108,462.5,462.5
2025-01-08 23:00:00,118.91,2950.574392909365,462.5,462.5
2025-01-09 00:00:00,117.59,2950.043836492276,462.5,462.5
2025-01-09 01:00:00,109.81,2949.773553034513,462.5,462.5
2025-01-09 02:00:00,102.08,2952.025915182533,462.5,462.5
2025-01-09 03:00:00,101.93,2952.2761776434245,462.5,462.5
2025-01-09 04:00:00,102.53,2952.6765975808503,462.5,462.5
2025-01-09 05:00:00,113.81,2954.348350819603,462.5,462.5
2025-01-09 06:00:00,132.54,2952.396303624653,462.5,462.5
2025-01-09 07:00:00,151.57,2951.425285276395,462.5,462.5
