datetime,price_EUR_per_MWh,nuclear_MW,non_renewable_MW,renewable_MW,end_user_consumption_MWh,total_production_MWh,total_consumption_MWh,grid_feed_in_MWh,net_outflow_MWh,total_import_MWh,total_export_MWh,net_import_MWh,end_user_consumption_MW_avg,total_production_MW_avg,total_consumption_MW_avg,total_import_MW_avg,total_export_MW_avg,net_import_MW_avg
2025-05-13 23:00:00,100.84,1722.106046,362.5,4669.489667,5369.326575521528,8362.092601999999,5763.144651981933,3671.267984885066,0.0,1996.754,4596.976,-2600.222,5369.326575521528,8362.092601999999,5763.144651981933,1996.754,4596.976,-2600.222
2025-05-14 00:00:00,100.38,1722.806781,362.5,3067.028786,5134.349817435748,7297.585156999999,5519.957602254056,3573.940764138545,0.0,2241.716,4019.506,-1777.79,5134.349817435748,7297.585156999999,5519.957602254056,2241.716,4019.506,-1777.79
2025-05-14 01:00:00,97.79,1724.108146,362.5,2997.605302,4962.563107690735,6383.204093,5345.52428323407,3458.24739354293,0.0,2415.388,3454.216,-1038.828,4962.563107690735,6383.204093,5345.52428323407,2415.388,3454.216,-1038.828
2025-05-14 02:00:00,95.45,1724.008041,362.5,2946.454865,4866.791490540057,6510.799301999999,5242.063613002603,3393.398896500395,0.0,2182.836,3453.088,-1270.252,4866.791490540057,6510.799301999999,5242.063613002603,2182.836,3453.088,-1270.252
2025-05-14 03:00:00,95.36,1724.508566,362.5,2981.494847,4754.81910101923,6657.474821000001,5115.006746900281,3282.02036435052,0.0,2153.38,3697.641,-1544.261,4754.81910101923,6657.474821000001,5115.006746900281,2153.38,3697.641,-1544.261
2025-05-14 04:00:00,99.29,1725.00909,362.5,3528.05452,4701.242125589257,6878.262503,5067.450465596203,3208.979433206397,0.0,2124.423,3937.245,-1812.822,4701.242125589257,6878.262503,5067.450465596203,2124.423,3937.245,-1812.822
2025-05-14 05:00:00,104.29,1725.109195,362.5,4849.882178,5149.151660602946,8780.198438999998,5584.216726289774,3515.122696335227,0.0,1847.658,5044.492,-3196.834,5149.151660602946,8780.198438999998,5584.216726289774,1847.658,5044.492,-3196.834
2025-05-14 06:00:00,119.46,1725.60972,362.5,5931.910794,5867.48253467893,10337.090652,6322.036416711282,3902.239456168517,0.0,1723.288,5739.456,-4016.168,5867.48253467893,10337.090652,6322.036416711282,1723.288,5739.456,-4016.168
2025-05-14 07:00:00,118.05,1724.80888,362.5,6412.882831,6279.715368075863,10334.984455,6701.442714746732,3948.259322416469,0.0,1498.992,5133.575,-3634.583,6279.715368075863,10334.984455,6701.442714746732,1498.992,5133.575,-3634.583
2025-05-14 08:00:00,91.1,1724.508566,362.5,5975.07835,6344.276068936628,8410.099865,6722.042379578896,3593.291151993705,0.0,1862.234,3552.046,-1689.812,6344.276068936628,8410.099865,6722.042379578896,1862.234,3552.046,-1689.812
2025-05-14 09:00:00,67.96,1722.005941,362.5,6154.819467,6150.964285047897,7124.120229,7720.042734957273,3993.095081036327,526.9196753252705,3641.141,3047.349,593.7919999999997,6150.964285047897,7124.120229,7720.042734957273,3641.141,3047.349,593.7919999999997
