datetime,end_user_consumption_MWh,total_production_MWh,total_consumption_MWh,net_outflow_MWh,grid_feed_in_MWh,import_AT_MWh,import_DE_MWh,import_FR_MWh,import_IT_MWh,export_AT_MWh,export_DE_MWh,export_FR_MWh,export_IT_MWh,total_import_MWh,total_export_MWh,net_import_MWh,end_user_consumption_MW_avg,total_production_MW_avg,total_consumption_MW_avg,total_import_MW_avg,total_export_MW_avg,net_import_MW_avg,net_import_check_MWh
2025-09-07 07:00:00,4191.96350491268,4937.702753999999,6167.5668915354,1094.3043414646,4132.149428,112.924,1546.561,2872.137,56.31,438.6,649.892,0.0,2267.54,4587.932,3356.032,1231.9,4191.96350491268,4937.702753999999,6167.5668915354,4587.932,3356.032,1231.9,1231.8999999999996
2025-09-07 08:00:00,4260.209629631379,5195.027850999999,6725.810593484401,1406.0827495156,4342.435844,40.431,1289.701,2940.014,72.95599999999999,612.506,654.361,0.0,1544.091,4343.102,2810.958,1532.144,4260.209629631379,5195.027850999999,6725.810593484401,4343.102,2810.958,1532.144,1532.1439999999998
2025-09-07 09:00:00,4367.243064733914,5611.697752999999,6946.2379485654,1223.8964664346,3988.08853,507.076,1110.551,1692.677,54.631,225.3,80.934,0.0,1723.162,3364.935,2029.396,1335.539,4367.243064733914,5611.697752999999,6946.2379485654,3364.935,2029.396,1335.539,1335.539
2025-09-07 10:00:00,4413.747035860518,6128.281300000001,7037.751028931801,784.6748430681998,3618.879097,836.9949999999999,1649.019,681.42,59.687,63.90000000000001,211.393,127.95,1914.921,3227.121,2318.164,908.9569999999998,4413.747035860518,6128.281300000001,7037.751028931801,3227.121,2318.164,908.9569999999998,908.9569999999999
2025-09-07 11:00:00,4418.767636678214,6627.124253000001,7093.354740847399,346.3765081525999,3478.4656954502,694.21,1623.985,422.586,90.03099999999999,105.3,400.777,466.069,1393.071,2830.812,2365.217,465.5949999999999,4418.767636678214,6627.124253000001,7093.354740847399,2830.812,2365.217,465.5949999999999,465.5949999999998
2025-09-07 12:00:00,4351.56430630807,6939.496832000001,7000.647636400197,0.8778771300000371,3329.2543835998,658.182,1718.252,340.653,85.854,107.7,376.441,824.702,1432.397,2802.941,2741.24,61.70100000000002,4351.56430630807,6939.496832000001,7000.647636400197,2802.941,2741.24,61.70100000000002,61.70100000000002
2025-09-07 13:00:00,4175.108535204118,7063.923997000001,6965.054260373599,0.0,3426.4198996264,512.0799999999999,1489.584,284.503,98.272,188.4,315.537,752.077,1227.195,2384.439,2483.209,-98.7700000000001,4175.108535204118,7063.923997000001,6965.054260373599,2384.439,2483.209,-98.7700000000001,-98.76999999999998
2025-09-07 14:00:00,4047.916168159991,6965.85562,6919.861882433798,0.0,3483.4889825662,498.393,1479.3,293.09,80.66499999999999,196.6,378.554,535.8319999999999,1287.337,2351.448,2398.323,-46.875,4047.916168159991,6965.85562,6919.861882433798,2351.448,2398.323,-46.875,-46.875
2025-09-07 15:00:00,4025.787903023591,6659.331334000001,6905.8143970048,131.9894029951999,3511.1425893132,460.802,1323.716,454.229,77.182,198.0,238.749,285.789,1346.616,2315.929,2069.154,246.7750000000002,4025.787903023591,6659.331334000001,6905.8143970048,2315.929,2069.154,246.7750000000002,246.7750000000001
2025-09-07 16:00:00,4193.840320633623,6279.554557,6887.714016999998,504.5870299999997,3620.121661,329.957,1189.812,794.556,69.97400000000002,244.4,215.731,93.03,1223.915,2384.299,1777.076,607.2230000000001,4193.840320633623,6279.554557,6887.714016999998,2384.299,1777.076,607.2230000000001,607.223
