datetime,price_EUR_per_MWh,load_MW,production_MW,import_MW,export_MW,net_balance_MW,deficit_MW,surplus_MW,action,pump_MWh,generation_MWh,storage_MWh,cost_EUR,revenue_EUR,profit_EUR,deficit_after_storage_MW,surplus_after_storage_MW,import_reduction_MWh,surplus_absorbed_MWh,low_threshold,high_threshold,scenario
2025-01-03 08:00:00,135.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,861553.0,121572.00000000001,0.0,-121572.00000000001,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-03 09:00:00,134.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,862282.0,120717.0,0.0,-120717.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-03 10:00:00,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,863011.0,117900.0,0.0,-117900.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-03 11:00:00,126.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,863740.0,113679.0,0.0,-113679.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-03 12:00:00,121.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,864469.0,109521.0,0.0,-109521.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-03 13:00:00,120.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,865198.0,108036.0,0.0,-108036.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-03 14:00:00,121.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,865927.0,108909.0,0.0,-108909.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-03 15:00:00,128.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,866656.0,115749.00000000001,0.0,-115749.00000000001,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-03 16:00:00,137.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,867385.0,123714.0,0.0,-123714.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-03 17:00:00,146.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,868114.0,131796.0,0.0,-131796.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
